region,value,indicator
Arab States,43.7,Total internet population
Asia & Pacific,43.9,Total internet population
CIS,67.7,Total internet population
Europe,79.6,Total internet population
The Americas,65.9,Total internet population
WORLD,48,Total internet population
Arab States,64.2,Ages 15-24 population
Asia & Pacific,72.3,Ages 15-24 population
CIS,89.6,Ages 15-24 population
Europe,95.7,Ages 15-24 population
The Americas,88.4,Ages 15-24 population
WORLD,70.6,Ages 15-24 population
Arab States,46.91,Ages 15-24 penetration rate
Asia & Pacific,64.69,Ages 15-24 penetration rate
CIS,32.35,Ages 15-24 penetration rate
Europe,20.23,Ages 15-24 penetration rate
The Americas,34.14,Ages 15-24 penetration rate
WORLD,47.08,Ages 15-24 penetration rate