region,value,year,indicator,population
Africa,36.91,2013,Price per 1gb of mobile plan as a percentage of GNI by region,"1,246,504,865"
Asia & Pacific,9.62,2013,Price per 1gb of mobile plan as a percentage of GNI by region,"4,438,985,092"
Europe,2.05,2013,Price per 1gb of mobile plan as a percentage of GNI by region,"822,710,362"
LAC,5.65,2013,Price per 1gb of mobile plan as a percentage of GNI by region,"647,604,645"
North America,1.04,2013,Price per 1gb of mobile plan as a percentage of GNI by region,"363,224,006"
Africa,24.99,2014,Price per 1gb of mobile plan as a percentage of GNI by region,"1,246,504,865"
Asia & Pacific,6.46,2014,Price per 1gb of mobile plan as a percentage of GNI by region,"4,438,985,092"
Europe,1.37,2014,Price per 1gb of mobile plan as a percentage of GNI by region,"822,710,362"
LAC,5.16,2014,Price per 1gb of mobile plan as a percentage of GNI by region,"647,604,645"
North America,0.84,2014,Price per 1gb of mobile plan as a percentage of GNI by region,"363,224,006"
Africa,17.49,2015,Price per 1gb of mobile plan as a percentage of GNI by region,"1,246,504,865"
Asia & Pacific,4.25,2015,Price per 1gb of mobile plan as a percentage of GNI by region,"4,438,985,092"
Europe,0.9,2015,Price per 1gb of mobile plan as a percentage of GNI by region,"822,710,362"
LAC,3.71,2015,Price per 1gb of mobile plan as a percentage of GNI by region,"647,604,645"
North America,0.84,2015,Price per 1gb of mobile plan as a percentage of GNI by region,"363,224,006"